date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:48	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Dec%202023%2011:13:47%20GMT	http://htmldemo.net/robots.txt		(from )
14:13:49	254616/254616	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf0-3e298%22	http://htmldemo.net/mirora/mirora/index.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/index.html	(from )
14:13:49	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22618c9c1b-47e%22	http://htmldemo.net/mirora/mirora/assets/img/favicon.ico	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/favicon.ico	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:49	4029/4029	---MC-	200	added ('OK')	image/png	date:Thu,%2021%20Dec%202023%2011:13:48%20GMT	http://htmldemo.net/mirora/mirora/assets/img/icon.png	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/icon.png	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:51	42783/42783	---MCZ	200	added ('OK')	text/css	etag:W/%22618c9c11-a71f%22	http://htmldemo.net/mirora/mirora/assets/css/font-awesome.min.css	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/css/font-awesome.min.css	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:51	25252/25252	---MCZ	200	added ('OK')	text/css	etag:W/%22618c9c12-62a4%22	http://htmldemo.net/mirora/mirora/assets/css/elegent-icons.css	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/css/elegent-icons.css	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:51	196037/196037	---MCZ	200	added ('OK')	text/css	etag:W/%22618c9c11-2fdc5%22	http://htmldemo.net/mirora/mirora/assets/css/bootstrap.css	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/css/bootstrap.css	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:52	33373/33373	---MCZ	200	added ('OK')	text/css	etag:W/%22618c9c11-825d%22	http://htmldemo.net/mirora/mirora/assets/css/plugins.css	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/css/plugins.css	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:53	424/424	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:13:51%20GMT	http://htmldemo.net/mirora/mirora/assets/img/header/1.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/header/1.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:13:53	423/423	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:13:51%20GMT	http://htmldemo.net/mirora/mirora/assets/img/header/2.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/header/2.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
